SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
44,44,1.0,17805,17805.0
44,10,0.647493381963,16691,10807.312038344433
44,22,0.608279931432,17571,10688.086675191671
44,18,0.65764614807,15951,10490.11370786457
44,6,0.573244418877,17805,10206.616878104984
44,36,0.566410753519,17805,10084.943466405795
44,28,0.66153032484,14947,9887.89376538348
44,52,0.532604082206,17684,9418.570589730904
44,39,0.542156896667,17209,9329.978034742402
44,46,0.54922924668,16745,9196.8437356566
44,61,0.668791234297,13593,9090.879247799121
44,37,0.493140035802,17805,8780.35833745461
44,5,0.614365976225,14129,8680.376878083025
44,34,0.486966128623,17805,8670.431920132514
44,31,0.48629159065,17647,8581.587700200549
44,13,0.644747330073,13183,8499.70405235236
44,8,0.462410473465,17805,8233.218480044325
44,54,0.550132779123,14666,8068.247338617917
44,56,0.474763480046,16819,7985.046970893674
44,43,0.493782029155,16097,7948.409323308036
44,26,0.523115912461,14442,7554.840007761762
