SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
29,29,1.0,8737,8737.0
29,56,0.426603558317,7752,3307.030784073384
29,64,0.426291048212,7622,3249.190369471864
29,69,0.482109997714,6625,3193.97873485525
29,54,0.459582945124,6625,3044.7370114464998
29,67,0.445972444366,6625,2954.56744392475
29,66,0.49489093454,5634,2788.21552519836
29,68,0.420081670645,6625,2783.0410680231253
29,22,0.32466695926,8508,2762.26648938408
29,65,0.484538232855,5600,2713.4141039879996
29,61,0.452300734501,5963,2697.069279829463
29,18,0.294555216179,8737,2573.5289237559227
29,36,0.276767182169,8737,2418.1148706105528
29,37,0.257236839853,8737,2247.478269795661
29,39,0.223649642789,8737,1954.026929047493
29,46,0.229385269269,8308,1905.732817086852
29,51,0.231758239372,7848,1818.8386625914559
29,5,0.200520028753,8737,1751.943491214961
29,6,0.191548532184,8737,1673.559525691608
29,10,0.182929164349,8737,1598.252108917213
29,31,0.178290093927,8579,1529.5507157997329
