SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
51,51,1.0,16904,16904.0
51,37,0.503882477618,16745,8437.51208771341
51,6,0.490253734541,16904,8287.249128681064
51,39,0.494943368967,16606,8219.029585066002
51,22,0.484389407514,16764,8120.304027564696
51,52,0.483039306675,16731,8081.730639979425
51,10,0.474716187888,15781,7491.496161060529
51,18,0.502727463383,14889,7485.109202309487
51,34,0.437092807896,16894,7384.2458965950245
51,36,0.434143682738,16904,7338.764813003152
51,31,0.424974821906,16736,7112.378619418816
51,64,0.440558130055,15849,6982.405803241695
51,54,0.472302867391,14493,6845.0854570977635
51,8,0.398727510381,16744,6676.293433819465
51,43,0.434797175445,15192,6605.438689360441
51,44,0.480448670173,13569,6519.208005577438
51,46,0.407771536519,15844,6460.732224607036
51,56,0.380406546543,16496,6275.186391773328
51,61,0.55462395506,11294,6263.922948447639
51,19,0.417877069822,14862,6210.489011694564
51,5,0.458352166168,13238,6067.665975731984
