SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
52,52,1.0,20858,20858.0
52,6,0.539445587878,20858,11251.756071959324
52,22,0.540622568259,20624,11149.799847773616
52,39,0.523846039966,20274,10620.454614270684
52,18,0.556221326933,19016,10577.104752957928
52,10,0.533204973811,19742,10526.53259297676
52,37,0.479732271314,20858,10006.255715067411
52,36,0.453171978331,20858,9452.261124027998
52,44,0.532604082206,17684,9418.570589730904
52,54,0.523485998421,17840,9338.99021183064
52,34,0.432946348955,20858,9030.39494650339
52,61,0.602360124225,14641,8819.154578778225
52,46,0.444942931409,19798,8808.980156035383
52,43,0.458005551096,19150,8770.8063034884
52,31,0.406528467276,20700,8415.1392726132
52,28,0.476969640637,17186,8197.200243987481
52,56,0.409220320564,19981,8176.631225189284
52,8,0.392008500984,20858,8176.513313524271
52,5,0.474809960622,17194,8163.882462934667
52,51,0.483039306675,16731,8081.730639979425
52,64,0.426197091593,18908,8058.534607840445
