SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
61,61,1.0,14641,14641.0
61,18,0.76286544211,13883,10590.86093281313
61,10,0.736568774635,13527,9963.565814487645
61,6,0.678726271491,14641,9937.23134089973
61,54,0.664780855152,14619,9718.43132146709
61,22,0.657177475386,14620,9607.93469014332
61,36,0.626662478456,14641,9174.965347074296
61,44,0.668791234297,13593,9090.879247799121
61,39,0.624684975021,14182,8859.282315747821
61,52,0.602360124225,14641,8819.154578778225
61,34,0.60067164959,14641,8794.43362164719
61,46,0.638439400407,13581,8670.645496927467
61,37,0.572003195887,14641,8374.698790981567
61,28,0.637690539853,12781,8150.322789861192
61,31,0.546764093213,14483,7918.784362003879
61,5,0.643499447519,12061,7761.2468365266595
61,19,0.552213628961,13856,7651.472042883616
61,56,0.510918434762,14640,7479.8458849156805
61,42,0.490062292022,14625,7167.161020821751
61,8,0.487758199114,14641,7141.267793228074
61,43,0.538304139274,12933,6961.887433230642
