SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
67,67,1.0,11086,11086.0
67,69,0.57141860928,11082,6332.46102804096
67,54,0.536321425329,11086,5945.659321197293
67,6,0.535930687901,11086,5941.327606070486
67,36,0.532900006462,11086,5907.729471637732
67,10,0.553207628973,10598,5862.894451855855
67,18,0.523243003471,11086,5800.671936479505
67,22,0.517689994399,11070,5730.82823799693
67,34,0.48943343636,11086,5425.85907548696
67,39,0.485723090615,11086,5384.72618255789
67,46,0.534836751413,10026,5362.273269666738
67,31,0.473354666004,10928,5172.819790091712
67,19,0.460967852325,11086,5110.28961087495
67,5,0.459352602193,11057,5079.061722448001
67,66,0.576622678455,8760,5051.2146632658005
67,8,0.443502293446,11086,4916.666425142356
67,68,0.437847822217,11086,4853.980957097662
67,61,0.583567968641,7977,4655.121685849257
67,26,0.459383153505,9866,4532.2741924803295
67,7,0.408020277782,11086,4523.312799491252
67,43,0.474297988805,9378,4447.9665390132905
