SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
13,13,1.0,15077,15077.0
13,44,0.644747330073,13183,8499.70405235236
13,10,0.571330985639,13933,7960.354622908187
13,22,0.532446910825,14838,7900.447262821349
13,18,0.602586000719,13062,7870.978341391578
13,6,0.512594200319,15077,7728.382758209564
13,36,0.497155255573,15077,7495.609788274121
13,28,0.648651377473,11238,7289.544180041574
13,52,0.486676910919,14795,7200.384897046605
13,37,0.470068709741,14918,7012.485011916238
13,39,0.484318795209,14320,6935.44514739288
13,46,0.484106572248,14305,6925.14451600764
13,43,0.454061240266,15073,6844.065074529418
13,5,0.576080470356,11240,6475.14448680144
13,8,0.432679150752,14917,6454.2748917675835
13,34,0.421690654017,15067,6353.613084074139
13,26,0.522265638084,11821,6173.702107790963
13,54,0.522931808473,11777,6158.567908386522
13,56,0.436817364718,14091,6155.193486241337
13,4,0.632367176972,9720,6146.6089601678395
13,24,0.496554226539,12258,6086.761708915062
