SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
69,69,1.0,11646,11646.0
69,18,0.701245548202,11646,8166.705654360492
69,10,0.664704950976,10887,7236.642801275712
69,6,0.621277313065,11646,7235.39558795499
69,22,0.615997916655,11630,7164.055770697651
69,54,0.61208417353,11646,7128.33228493038
69,5,0.584531771514,11346,6632.0974795978445
69,39,0.559351432134,11646,6514.206778632563
69,34,0.557081332291,11646,6487.769195860986
69,36,0.551692387746,11646,6425.009547689917
69,67,0.57141860928,11082,6332.46102804096
69,31,0.549533639557,11488,6313.0424512308155
69,46,0.584988828836,10586,6192.691742057896
69,19,0.518374940263,11646,6036.994554302898
69,66,0.678721105179,8777,5957.135140156082
69,61,0.685031528254,8520,5836.46862072408
69,26,0.55836006384,10426,5821.462025595841
69,56,0.475776892028,11646,5540.897684558088
69,37,0.473921154614,11646,5519.285766634644
69,7,0.460906053099,11646,5367.7118943909545
69,8,0.457958229127,11646,5333.381536413042
