SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
16,16,1.0,17547,17547.0
16,34,0.523097067462,17547,9178.784242755715
16,39,0.533191374823,17088,9111.174212975426
16,19,0.513196718457,16545,8490.839706871066
16,22,0.483307535982,17526,8470.447875620532
16,6,0.47283584435,17547,8296.85056080945
16,54,0.486635768139,16888,8218.304852331432
16,31,0.456185061052,17389,7932.602026633228
16,46,0.480991250389,16487,7930.102745163443
16,10,0.466717529898,16889,7882.392362447323
16,18,0.468380484496,16572,7762.001389067712
16,36,0.424399721465,17547,7446.941912546355
16,37,0.416615577521,17547,7310.353538760986
16,61,0.508534947666,13689,6961.334898599875
16,8,0.388718064444,17547,6820.8358767988675
16,43,0.42577480909,15839,6743.84720117651
16,64,0.411483127069,16092,6621.586480794348
16,7,0.376972636483,17547,6614.738852367201
16,42,0.396521598344,16642,6598.912439640849
16,52,0.373190864504,17438,6507.702295220753
16,56,0.376902219992,17035,6420.529317563721
