SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
66,66,1.0,8781,8781.0
66,18,0.76267521238,8781,6697.05103990878
66,10,0.704547304646,8779,6185.220787487234
66,6,0.681775638109,8781,5986.671878235129
66,69,0.678721105179,8777,5957.135140156082
66,22,0.66166140351,8765,5799.46220176515
66,54,0.636052333103,8781,5585.175536977443
66,5,0.603837400931,8781,5302.296217575111
66,34,0.602562531203,8781,5291.1015864935425
66,39,0.591521673139,8781,5194.151811833559
66,36,0.587885370784,8781,5162.221440854304
66,19,0.585975340966,8781,5145.4494690224465
66,67,0.576622678455,8760,5051.2146632658005
66,28,0.715991191367,6969,4989.742612636623
66,31,0.578305713093,8623,4986.730164000939
66,56,0.56149570461,8781,4930.49378218041
66,16,0.534545005318,8777,4691.701511676086
66,43,0.574444078957,8064,4632.317052709248
66,52,0.486713957983,8781,4273.835265048723
66,26,0.562903118699,7561,4256.110480483139
66,46,0.551034832799,7721,4254.539944041079
