SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
45,45,1.0,20914,20914.0
45,22,0.404667351867,20680,8368.52083660956
45,6,0.387953574687,20914,8113.661061003918
45,36,0.379745304527,20914,7941.993298877678
45,46,0.398205311132,19854,7905.968247214728
45,10,0.39302192535,19778,7773.1876395723
45,39,0.382390886295,20165,7710.912222138675
45,34,0.364335271206,20912,7618.979191459872
45,18,0.387107851205,18907,7319.048142732935
45,52,0.347353796157,20640,7169.38235268048
45,37,0.340953652214,20763,7079.220680919281
45,5,0.408272605964,17085,6975.33747289494
45,8,0.332185487648,20762,6896.835094547776
45,31,0.330716882839,20754,6863.698186440606
45,44,0.386700967224,17587,6800.909910568488
45,43,0.348721649826,19388,6761.015346826488
45,56,0.334520441369,19950,6673.68280531155
45,19,0.353200504436,18880,6668.42552375168
45,28,0.382088118033,17087,6528.739672829872
45,42,0.319199034566,20007,6386.215084561963
45,54,0.358128463802,17644,6318.818615322488
