SourceDevice,ComparedDevice,CosineSim,FeatureVectorLength,ComputedMetric
26,26,1.0,16664,16664.0
26,10,0.515338748643,15541,8008.879492660863
26,46,0.494566670796,15604,7717.218331100784
26,18,0.517931872415,14649,7587.183999007336
26,44,0.523115912461,14442,7554.840007761762
26,36,0.443106292892,16664,7383.923264752288
26,28,0.570450693189,12819,7312.607435989791
26,22,0.430138102554,16425,7065.01833444945
26,6,0.422604112313,16664,7042.274927583831
26,31,0.402941423806,16496,6646.921727103776
26,39,0.402977492071,16361,6593.11474777363
26,5,0.50230961607,13061,6560.6658954902705
26,56,0.416336736298,15678,6527.327351680044
26,34,0.384439530561,16654,6402.455941962894
26,54,0.470349104843,13364,6285.745437121852
26,8,0.376268533271,16504,6209.935873104584
26,13,0.522265638084,11821,6173.702107790963
26,7,0.353483165287,16504,5833.886159896649
26,37,0.353202274472,16505,5829.603540160359
26,69,0.55836006384,10426,5821.462025595841
26,45,0.35033702236,16438,5758.8399735536805
