firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
12,1,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,4,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,5,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,6,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,7,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,8,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,9,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,10,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,11,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,12,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,13,09-12-16-Monday,1,09-12-16-Monday,1,1.0
12,1,09-13-16-Tuesday,2,09-13-16-Tuesday,2,1.0
12,1,09-13-16-Tuesday,2,09-14-16-Wednesday,3,1.0
12,1,09-13-16-Tuesday,2,09-15-16-Thursday,4,1.0
12,1,09-13-16-Tuesday,2,09-16-16-Friday,5,1.0
12,1,09-13-16-Tuesday,2,09-17-16-Saturday,6,1.0
12,1,09-13-16-Tuesday,2,09-18-16-Sunday,7,1.0
12,1,09-13-16-Tuesday,2,09-19-16-Monday,8,1.0
12,1,09-13-16-Tuesday,2,09-20-16-Tuesday,9,1.0
12,1,09-13-16-Tuesday,2,09-21-16-Wednesday,10,1.0
12,1,09-13-16-Tuesday,2,09-22-16-Thursday,11,1.0
12,1,09-13-16-Tuesday,2,09-24-16-Saturday,13,1.0
12,1,09-14-16-Wednesday,3,09-13-16-Tuesday,2,1.0
12,1,09-14-16-Wednesday,3,09-14-16-Wednesday,3,1.0
12,1,09-14-16-Wednesday,3,09-15-16-Thursday,4,1.0
12,1,09-14-16-Wednesday,3,09-16-16-Friday,5,1.0
12,1,09-14-16-Wednesday,3,09-17-16-Saturday,6,1.0
12,1,09-14-16-Wednesday,3,09-18-16-Sunday,7,1.0
12,1,09-14-16-Wednesday,3,09-19-16-Monday,8,1.0
12,1,09-14-16-Wednesday,3,09-20-16-Tuesday,9,1.0
12,1,09-14-16-Wednesday,3,09-21-16-Wednesday,10,1.0
12,1,09-14-16-Wednesday,3,09-22-16-Thursday,11,1.0
12,1,09-14-16-Wednesday,3,09-24-16-Saturday,13,1.0
12,1,09-15-16-Thursday,4,09-13-16-Tuesday,2,1.0
12,1,09-15-16-Thursday,4,09-14-16-Wednesday,3,1.0
12,1,09-15-16-Thursday,4,09-15-16-Thursday,4,1.0
12,1,09-15-16-Thursday,4,09-16-16-Friday,5,1.0
12,1,09-15-16-Thursday,4,09-17-16-Saturday,6,1.0
12,1,09-15-16-Thursday,4,09-18-16-Sunday,7,1.0
12,1,09-15-16-Thursday,4,09-19-16-Monday,8,1.0
12,1,09-15-16-Thursday,4,09-20-16-Tuesday,9,1.0
12,1,09-15-16-Thursday,4,09-21-16-Wednesday,10,1.0
12,1,09-15-16-Thursday,4,09-22-16-Thursday,11,1.0
12,1,09-15-16-Thursday,4,09-24-16-Saturday,13,1.0
12,1,09-16-16-Friday,5,09-13-16-Tuesday,2,1.0
12,1,09-16-16-Friday,5,09-14-16-Wednesday,3,1.0
12,1,09-16-16-Friday,5,09-15-16-Thursday,4,1.0
12,1,09-16-16-Friday,5,09-16-16-Friday,5,1.0
12,1,09-16-16-Friday,5,09-17-16-Saturday,6,1.0
12,1,09-16-16-Friday,5,09-18-16-Sunday,7,1.0
12,1,09-16-16-Friday,5,09-19-16-Monday,8,1.0
12,1,09-16-16-Friday,5,09-20-16-Tuesday,9,1.0
12,1,09-16-16-Friday,5,09-21-16-Wednesday,10,1.0
12,1,09-16-16-Friday,5,09-22-16-Thursday,11,1.0
12,1,09-16-16-Friday,5,09-24-16-Saturday,13,1.0
12,1,09-17-16-Saturday,6,09-13-16-Tuesday,2,1.0
12,1,09-17-16-Saturday,6,09-14-16-Wednesday,3,1.0
12,1,09-17-16-Saturday,6,09-15-16-Thursday,4,1.0
12,1,09-17-16-Saturday,6,09-16-16-Friday,5,1.0
12,1,09-17-16-Saturday,6,09-17-16-Saturday,6,1.0
12,1,09-17-16-Saturday,6,09-18-16-Sunday,7,1.0
12,1,09-17-16-Saturday,6,09-19-16-Monday,8,1.0
12,1,09-17-16-Saturday,6,09-20-16-Tuesday,9,1.0
12,1,09-17-16-Saturday,6,09-21-16-Wednesday,10,1.0
12,1,09-17-16-Saturday,6,09-22-16-Thursday,11,1.0
12,1,09-17-16-Saturday,6,09-24-16-Saturday,13,1.0
12,1,09-18-16-Sunday,7,09-13-16-Tuesday,2,1.0
12,1,09-18-16-Sunday,7,09-14-16-Wednesday,3,1.0
12,1,09-18-16-Sunday,7,09-15-16-Thursday,4,1.0
12,1,09-18-16-Sunday,7,09-16-16-Friday,5,1.0
12,1,09-18-16-Sunday,7,09-17-16-Saturday,6,1.0
12,1,09-18-16-Sunday,7,09-18-16-Sunday,7,1.0
12,1,09-18-16-Sunday,7,09-19-16-Monday,8,1.0
12,1,09-18-16-Sunday,7,09-20-16-Tuesday,9,1.0
12,1,09-18-16-Sunday,7,09-21-16-Wednesday,10,1.0
12,1,09-18-16-Sunday,7,09-22-16-Thursday,11,1.0
12,1,09-18-16-Sunday,7,09-24-16-Saturday,13,1.0
12,12,09-19-16-Monday,8,09-19-16-Monday,8,1.0
12,43,09-19-16-Monday,8,09-19-16-Monday,8,0.65772881005
12,26,09-19-16-Monday,8,09-19-16-Monday,8,0.656963365614
12,9,09-19-16-Monday,8,09-19-16-Monday,8,0.655639935189
12,36,09-19-16-Monday,8,09-19-16-Monday,8,0.654767740857
12,27,09-19-16-Monday,8,09-19-16-Monday,8,0.654157879569
12,11,09-19-16-Monday,8,09-19-16-Monday,8,0.654029506003
12,15,09-19-16-Monday,8,09-19-16-Monday,8,0.653748784288
12,30,09-19-16-Monday,8,09-19-16-Monday,8,0.653433528278
12,14,09-19-16-Monday,8,09-19-16-Monday,8,0.653421465296
12,23,09-19-16-Monday,8,09-19-16-Monday,8,0.65317233265
12,12,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
12,5,09-20-16-Tuesday,9,01-31-17-Tuesday,142,0.884553377659
12,24,09-20-16-Tuesday,9,10-11-16-Tuesday,30,0.883942926395
12,46,09-20-16-Tuesday,9,01-03-17-Tuesday,114,0.87996327199
12,5,09-20-16-Tuesday,9,02-08-17-Wednesday,150,0.87805627418
12,18,09-20-16-Tuesday,9,11-21-16-Monday,71,0.87700215363
12,61,09-20-16-Tuesday,9,01-05-17-Thursday,116,0.872112510753
12,61,09-20-16-Tuesday,9,11-16-16-Wednesday,66,0.871201218503
12,61,09-20-16-Tuesday,9,12-01-16-Thursday,81,0.86989565023
12,6,09-20-16-Tuesday,9,02-08-17-Wednesday,150,0.869702920678
12,44,09-20-16-Tuesday,9,11-09-16-Wednesday,59,0.869294678965
12,12,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
12,18,09-21-16-Wednesday,10,10-21-16-Friday,40,0.889486856657
12,18,09-21-16-Wednesday,10,10-31-16-Monday,50,0.873626716381
12,18,09-21-16-Wednesday,10,10-03-16-Monday,22,0.868886782432
12,18,09-21-16-Wednesday,10,02-10-17-Friday,152,0.864682405507
12,18,09-21-16-Wednesday,10,10-24-16-Monday,43,0.85927176611
12,18,09-21-16-Wednesday,10,01-31-17-Tuesday,142,0.857754135691
12,18,09-21-16-Wednesday,10,10-20-16-Thursday,39,0.857158291725
12,5,09-21-16-Wednesday,10,12-02-16-Friday,82,0.855121757811
12,18,09-21-16-Wednesday,10,02-01-17-Wednesday,143,0.853985213078
12,18,09-21-16-Wednesday,10,02-13-17-Monday,155,0.852940082493
12,12,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
12,69,09-22-16-Thursday,11,02-02-17-Thursday,144,0.878994846855
12,4,09-22-16-Thursday,11,09-20-16-Tuesday,9,0.875448563321
12,44,09-22-16-Thursday,11,10-14-16-Friday,33,0.874764197427
12,18,09-22-16-Thursday,11,01-10-17-Tuesday,121,0.866485623081
12,18,09-22-16-Thursday,11,01-23-17-Monday,134,0.866162165719
12,5,09-22-16-Thursday,11,12-02-16-Friday,82,0.864365910449
12,18,09-22-16-Thursday,11,02-02-17-Thursday,144,0.862056846316
12,21,09-22-16-Thursday,11,11-11-16-Friday,61,0.861361022658
12,18,09-22-16-Thursday,11,11-08-16-Tuesday,58,0.858435238159
12,12,09-22-16-Thursday,11,10-06-16-Thursday,25,0.857938088487
12,12,09-23-16-Friday,12,09-23-16-Friday,12,1.0
12,28,09-23-16-Friday,12,10-31-16-Monday,50,0.867825506826
12,44,09-23-16-Friday,12,10-03-16-Monday,22,0.863120918332
