firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
35,1,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,4,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,5,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,6,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,7,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,8,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,9,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,10,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,11,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,12,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,13,09-12-16-Monday,1,09-12-16-Monday,1,1.0
35,1,09-13-16-Tuesday,2,09-13-16-Tuesday,2,1.0
35,1,09-13-16-Tuesday,2,09-14-16-Wednesday,3,1.0
35,1,09-13-16-Tuesday,2,09-15-16-Thursday,4,1.0
35,1,09-13-16-Tuesday,2,09-16-16-Friday,5,1.0
35,1,09-13-16-Tuesday,2,09-17-16-Saturday,6,1.0
35,1,09-13-16-Tuesday,2,09-18-16-Sunday,7,1.0
35,1,09-13-16-Tuesday,2,09-19-16-Monday,8,1.0
35,1,09-13-16-Tuesday,2,09-20-16-Tuesday,9,1.0
35,1,09-13-16-Tuesday,2,09-21-16-Wednesday,10,1.0
35,1,09-13-16-Tuesday,2,09-22-16-Thursday,11,1.0
35,1,09-13-16-Tuesday,2,09-24-16-Saturday,13,1.0
35,1,09-14-16-Wednesday,3,09-13-16-Tuesday,2,1.0
35,1,09-14-16-Wednesday,3,09-14-16-Wednesday,3,1.0
35,1,09-14-16-Wednesday,3,09-15-16-Thursday,4,1.0
35,1,09-14-16-Wednesday,3,09-16-16-Friday,5,1.0
35,1,09-14-16-Wednesday,3,09-17-16-Saturday,6,1.0
35,1,09-14-16-Wednesday,3,09-18-16-Sunday,7,1.0
35,1,09-14-16-Wednesday,3,09-19-16-Monday,8,1.0
35,1,09-14-16-Wednesday,3,09-20-16-Tuesday,9,1.0
35,1,09-14-16-Wednesday,3,09-21-16-Wednesday,10,1.0
35,1,09-14-16-Wednesday,3,09-22-16-Thursday,11,1.0
35,1,09-14-16-Wednesday,3,09-24-16-Saturday,13,1.0
35,1,09-15-16-Thursday,4,09-13-16-Tuesday,2,1.0
35,1,09-15-16-Thursday,4,09-14-16-Wednesday,3,1.0
35,1,09-15-16-Thursday,4,09-15-16-Thursday,4,1.0
35,1,09-15-16-Thursday,4,09-16-16-Friday,5,1.0
35,1,09-15-16-Thursday,4,09-17-16-Saturday,6,1.0
35,1,09-15-16-Thursday,4,09-18-16-Sunday,7,1.0
35,1,09-15-16-Thursday,4,09-19-16-Monday,8,1.0
35,1,09-15-16-Thursday,4,09-20-16-Tuesday,9,1.0
35,1,09-15-16-Thursday,4,09-21-16-Wednesday,10,1.0
35,1,09-15-16-Thursday,4,09-22-16-Thursday,11,1.0
35,1,09-15-16-Thursday,4,09-24-16-Saturday,13,1.0
35,1,09-16-16-Friday,5,09-13-16-Tuesday,2,1.0
35,1,09-16-16-Friday,5,09-14-16-Wednesday,3,1.0
35,1,09-16-16-Friday,5,09-15-16-Thursday,4,1.0
35,1,09-16-16-Friday,5,09-16-16-Friday,5,1.0
35,1,09-16-16-Friday,5,09-17-16-Saturday,6,1.0
35,1,09-16-16-Friday,5,09-18-16-Sunday,7,1.0
35,1,09-16-16-Friday,5,09-19-16-Monday,8,1.0
35,1,09-16-16-Friday,5,09-20-16-Tuesday,9,1.0
35,1,09-16-16-Friday,5,09-21-16-Wednesday,10,1.0
35,1,09-16-16-Friday,5,09-22-16-Thursday,11,1.0
35,1,09-16-16-Friday,5,09-24-16-Saturday,13,1.0
35,1,09-17-16-Saturday,6,09-13-16-Tuesday,2,1.0
35,1,09-17-16-Saturday,6,09-14-16-Wednesday,3,1.0
35,1,09-17-16-Saturday,6,09-15-16-Thursday,4,1.0
35,1,09-17-16-Saturday,6,09-16-16-Friday,5,1.0
35,1,09-17-16-Saturday,6,09-17-16-Saturday,6,1.0
35,1,09-17-16-Saturday,6,09-18-16-Sunday,7,1.0
35,1,09-17-16-Saturday,6,09-19-16-Monday,8,1.0
35,1,09-17-16-Saturday,6,09-20-16-Tuesday,9,1.0
35,1,09-17-16-Saturday,6,09-21-16-Wednesday,10,1.0
35,1,09-17-16-Saturday,6,09-22-16-Thursday,11,1.0
35,1,09-17-16-Saturday,6,09-24-16-Saturday,13,1.0
35,1,09-18-16-Sunday,7,09-13-16-Tuesday,2,1.0
35,1,09-18-16-Sunday,7,09-14-16-Wednesday,3,1.0
35,1,09-18-16-Sunday,7,09-15-16-Thursday,4,1.0
35,1,09-18-16-Sunday,7,09-16-16-Friday,5,1.0
35,1,09-18-16-Sunday,7,09-17-16-Saturday,6,1.0
35,1,09-18-16-Sunday,7,09-18-16-Sunday,7,1.0
35,1,09-18-16-Sunday,7,09-19-16-Monday,8,1.0
35,1,09-18-16-Sunday,7,09-20-16-Tuesday,9,1.0
35,1,09-18-16-Sunday,7,09-21-16-Wednesday,10,1.0
35,1,09-18-16-Sunday,7,09-22-16-Thursday,11,1.0
35,1,09-18-16-Sunday,7,09-24-16-Saturday,13,1.0
35,35,09-19-16-Monday,8,09-19-16-Monday,8,1.0
35,7,09-19-16-Monday,8,09-27-16-Tuesday,16,0.829930015242
35,23,09-19-16-Monday,8,09-30-16-Friday,19,0.819240587045
35,6,09-19-16-Monday,8,09-19-16-Monday,8,0.813322913223
35,31,09-19-16-Monday,8,09-19-16-Monday,8,0.810943577211
35,24,09-19-16-Monday,8,09-22-16-Thursday,11,0.793981332945
35,42,09-19-16-Monday,8,10-11-16-Tuesday,30,0.769327016879
35,35,09-19-16-Monday,8,09-28-16-Wednesday,17,0.765706429207
35,51,09-19-16-Monday,8,09-28-16-Wednesday,17,0.75057794485
35,39,09-19-16-Monday,8,09-19-16-Monday,8,0.738342686302
35,54,09-19-16-Monday,8,01-01-17-Sunday,112,0.737637414455
35,35,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
35,45,09-20-16-Tuesday,9,11-04-16-Friday,54,0.804774200945
35,38,09-20-16-Tuesday,9,10-30-16-Sunday,49,0.7938444316
35,52,09-20-16-Tuesday,9,01-05-17-Thursday,116,0.791324991853
35,45,09-20-16-Tuesday,9,09-23-16-Friday,12,0.77635148363
35,16,09-20-16-Tuesday,9,11-14-16-Monday,64,0.766592889801
35,72,09-20-16-Tuesday,9,11-27-16-Sunday,77,0.762772015412
35,34,09-20-16-Tuesday,9,12-22-16-Thursday,102,0.762275566662
35,19,09-20-16-Tuesday,9,01-14-17-Saturday,125,0.752015341226
35,20,09-20-16-Tuesday,9,11-09-16-Wednesday,59,0.751008007529
35,23,09-20-16-Tuesday,9,11-05-16-Saturday,55,0.750279063402
35,35,09-21-16-Wednesday,10,09-21-16-Wednesday,10,1.0
35,23,09-21-16-Wednesday,10,11-14-16-Monday,64,0.820060368378
35,16,09-21-16-Wednesday,10,12-31-16-Saturday,111,0.754138676039
35,20,09-21-16-Wednesday,10,11-08-16-Tuesday,58,0.751433998703
35,52,09-21-16-Wednesday,10,01-05-17-Thursday,116,0.730792464871
35,19,09-21-16-Wednesday,10,10-24-16-Monday,43,0.720453243418
35,33,09-21-16-Wednesday,10,10-10-16-Monday,29,0.7177189872
35,16,09-21-16-Wednesday,10,01-28-17-Saturday,139,0.711882490952
35,38,09-21-16-Wednesday,10,10-02-16-Sunday,21,0.707274255697
35,7,09-21-16-Wednesday,10,12-08-16-Thursday,88,0.704691659962
35,8,09-21-16-Wednesday,10,01-15-17-Sunday,126,0.701915136185
35,35,09-22-16-Thursday,11,09-22-16-Thursday,11,1.0
35,33,09-22-16-Thursday,11,10-10-16-Monday,29,0.796124650614
35,38,09-22-16-Thursday,11,11-13-16-Sunday,63,0.775870845851
35,38,09-22-16-Thursday,11,09-24-16-Saturday,13,0.737310481738
35,23,09-22-16-Thursday,11,02-03-17-Friday,145,0.732606540783
35,35,09-22-16-Thursday,11,09-26-16-Monday,15,0.726489777898
35,23,09-22-16-Thursday,11,11-21-16-Monday,71,0.723393503047
35,46,09-22-16-Thursday,11,12-22-16-Thursday,102,0.718205305143
35,38,09-22-16-Thursday,11,12-03-16-Saturday,83,0.713994509846
35,50,09-22-16-Thursday,11,10-25-16-Tuesday,44,0.711568753056
35,8,09-22-16-Thursday,11,10-09-16-Sunday,28,0.706975534161
35,35,09-23-16-Friday,12,09-23-16-Friday,12,1.0
35,56,09-23-16-Friday,12,12-15-16-Thursday,95,0.861090687134
35,56,09-23-16-Friday,12,01-22-17-Sunday,133,0.856670225067
35,23,09-23-16-Friday,12,01-10-17-Tuesday,121,0.856005061603
35,37,09-23-16-Friday,12,02-02-17-Thursday,144,0.854723858174
35,8,09-23-16-Friday,12,09-23-16-Friday,12,0.853649627276
35,64,09-23-16-Friday,12,01-24-17-Tuesday,135,0.852831938242
35,56,09-23-16-Friday,12,12-10-16-Saturday,90,0.850373335064
35,64,09-23-16-Friday,12,01-27-17-Friday,138,0.849343433366
35,52,09-23-16-Friday,12,02-02-17-Thursday,144,0.848525575309
35,70,09-23-16-Friday,12,12-11-16-Sunday,91,0.846822190121
35,35,09-24-16-Saturday,13,09-24-16-Saturday,13,1.0
35,27,09-24-16-Saturday,13,09-27-16-Tuesday,16,0.999634272824
35,6,09-24-16-Saturday,13,12-30-16-Friday,110,0.999629678901
35,6,09-24-16-Saturday,13,01-08-17-Sunday,119,0.999623151935
35,68,09-24-16-Saturday,13,11-26-16-Saturday,76,0.999619281643
35,29,09-24-16-Saturday,13,01-14-17-Saturday,125,0.999615432732
35,65,09-24-16-Saturday,13,02-03-17-Friday,145,0.999612842936
35,15,09-24-16-Saturday,13,12-05-16-Monday,85,0.999610651755
35,44,09-24-16-Saturday,13,09-25-16-Sunday,14,0.999603200101
35,51,09-24-16-Saturday,13,01-12-17-Thursday,123,0.99960044648
35,37,09-24-16-Saturday,13,02-12-17-Sunday,154,0.99959905255
35,35,09-25-16-Sunday,14,09-25-16-Sunday,14,1.0
35,9,09-25-16-Sunday,14,10-30-16-Sunday,49,0.999610417219
35,65,09-25-16-Sunday,14,01-27-17-Friday,138,0.999609593755
