firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
52,1,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,4,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,5,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,6,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,7,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,8,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,9,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,10,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,11,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,12,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,13,09-12-16-Monday,1,09-12-16-Monday,1,1.0
52,1,09-13-16-Tuesday,2,09-13-16-Tuesday,2,1.0
52,1,09-13-16-Tuesday,2,09-14-16-Wednesday,3,1.0
52,1,09-13-16-Tuesday,2,09-15-16-Thursday,4,1.0
52,1,09-13-16-Tuesday,2,09-16-16-Friday,5,1.0
52,1,09-13-16-Tuesday,2,09-17-16-Saturday,6,1.0
52,1,09-13-16-Tuesday,2,09-18-16-Sunday,7,1.0
52,1,09-13-16-Tuesday,2,09-19-16-Monday,8,1.0
52,1,09-13-16-Tuesday,2,09-20-16-Tuesday,9,1.0
52,1,09-13-16-Tuesday,2,09-21-16-Wednesday,10,1.0
52,1,09-13-16-Tuesday,2,09-22-16-Thursday,11,1.0
52,1,09-13-16-Tuesday,2,09-24-16-Saturday,13,1.0
52,1,09-14-16-Wednesday,3,09-13-16-Tuesday,2,1.0
52,1,09-14-16-Wednesday,3,09-14-16-Wednesday,3,1.0
52,1,09-14-16-Wednesday,3,09-15-16-Thursday,4,1.0
52,1,09-14-16-Wednesday,3,09-16-16-Friday,5,1.0
52,1,09-14-16-Wednesday,3,09-17-16-Saturday,6,1.0
52,1,09-14-16-Wednesday,3,09-18-16-Sunday,7,1.0
52,1,09-14-16-Wednesday,3,09-19-16-Monday,8,1.0
52,1,09-14-16-Wednesday,3,09-20-16-Tuesday,9,1.0
52,1,09-14-16-Wednesday,3,09-21-16-Wednesday,10,1.0
52,1,09-14-16-Wednesday,3,09-22-16-Thursday,11,1.0
52,1,09-14-16-Wednesday,3,09-24-16-Saturday,13,1.0
52,1,09-15-16-Thursday,4,09-13-16-Tuesday,2,1.0
52,1,09-15-16-Thursday,4,09-14-16-Wednesday,3,1.0
52,1,09-15-16-Thursday,4,09-15-16-Thursday,4,1.0
52,1,09-15-16-Thursday,4,09-16-16-Friday,5,1.0
52,1,09-15-16-Thursday,4,09-17-16-Saturday,6,1.0
52,1,09-15-16-Thursday,4,09-18-16-Sunday,7,1.0
52,1,09-15-16-Thursday,4,09-19-16-Monday,8,1.0
52,1,09-15-16-Thursday,4,09-20-16-Tuesday,9,1.0
52,1,09-15-16-Thursday,4,09-21-16-Wednesday,10,1.0
52,1,09-15-16-Thursday,4,09-22-16-Thursday,11,1.0
52,1,09-15-16-Thursday,4,09-24-16-Saturday,13,1.0
52,1,09-16-16-Friday,5,09-13-16-Tuesday,2,1.0
52,1,09-16-16-Friday,5,09-14-16-Wednesday,3,1.0
52,1,09-16-16-Friday,5,09-15-16-Thursday,4,1.0
52,1,09-16-16-Friday,5,09-16-16-Friday,5,1.0
52,1,09-16-16-Friday,5,09-17-16-Saturday,6,1.0
52,1,09-16-16-Friday,5,09-18-16-Sunday,7,1.0
52,1,09-16-16-Friday,5,09-19-16-Monday,8,1.0
52,1,09-16-16-Friday,5,09-20-16-Tuesday,9,1.0
52,1,09-16-16-Friday,5,09-21-16-Wednesday,10,1.0
52,1,09-16-16-Friday,5,09-22-16-Thursday,11,1.0
52,1,09-16-16-Friday,5,09-24-16-Saturday,13,1.0
52,1,09-17-16-Saturday,6,09-13-16-Tuesday,2,1.0
52,1,09-17-16-Saturday,6,09-14-16-Wednesday,3,1.0
52,1,09-17-16-Saturday,6,09-15-16-Thursday,4,1.0
52,1,09-17-16-Saturday,6,09-16-16-Friday,5,1.0
52,1,09-17-16-Saturday,6,09-17-16-Saturday,6,1.0
52,1,09-17-16-Saturday,6,09-18-16-Sunday,7,1.0
52,1,09-17-16-Saturday,6,09-19-16-Monday,8,1.0
52,1,09-17-16-Saturday,6,09-20-16-Tuesday,9,1.0
52,1,09-17-16-Saturday,6,09-21-16-Wednesday,10,1.0
52,1,09-17-16-Saturday,6,09-22-16-Thursday,11,1.0
52,1,09-17-16-Saturday,6,09-24-16-Saturday,13,1.0
52,1,09-18-16-Sunday,7,09-13-16-Tuesday,2,1.0
52,1,09-18-16-Sunday,7,09-14-16-Wednesday,3,1.0
52,1,09-18-16-Sunday,7,09-15-16-Thursday,4,1.0
52,1,09-18-16-Sunday,7,09-16-16-Friday,5,1.0
52,1,09-18-16-Sunday,7,09-17-16-Saturday,6,1.0
52,1,09-18-16-Sunday,7,09-18-16-Sunday,7,1.0
52,1,09-18-16-Sunday,7,09-19-16-Monday,8,1.0
52,1,09-18-16-Sunday,7,09-20-16-Tuesday,9,1.0
52,1,09-18-16-Sunday,7,09-21-16-Wednesday,10,1.0
52,1,09-18-16-Sunday,7,09-22-16-Thursday,11,1.0
52,1,09-18-16-Sunday,7,09-24-16-Saturday,13,1.0
52,1,09-19-16-Monday,8,09-13-16-Tuesday,2,1.0
52,1,09-19-16-Monday,8,09-14-16-Wednesday,3,1.0
52,1,09-19-16-Monday,8,09-15-16-Thursday,4,1.0
52,1,09-19-16-Monday,8,09-16-16-Friday,5,1.0
52,1,09-19-16-Monday,8,09-17-16-Saturday,6,1.0
52,1,09-19-16-Monday,8,09-18-16-Sunday,7,1.0
52,1,09-19-16-Monday,8,09-19-16-Monday,8,1.0
52,1,09-19-16-Monday,8,09-20-16-Tuesday,9,1.0
52,1,09-19-16-Monday,8,09-21-16-Wednesday,10,1.0
52,1,09-19-16-Monday,8,09-22-16-Thursday,11,1.0
52,1,09-19-16-Monday,8,09-24-16-Saturday,13,1.0
52,52,09-20-16-Tuesday,9,09-20-16-Tuesday,9,1.0
52,21,09-20-16-Tuesday,9,10-06-16-Thursday,25,0.853396582378
52,16,09-20-16-Tuesday,9,11-18-16-Friday,68,0.831794809441
52,54,09-20-16-Tuesday,9,01-12-17-Thursday,123,0.811055831017
52,61,09-20-16-Tuesday,9,10-12-16-Wednesday,31,0.810843511775
52,19,09-20-16-Tuesday,9,11-15-16-Tuesday,65,0.807958013812
